carat,cut,color,clarity,depth,table,price,x,y,z
1.36,Premium,I,SI2,62.7,58.0,5963,7.08,7.01,4.42
1.51,Premium,E,SI1,62.9,62.0,9647,7.31,7.21,4.57
1.17,Ideal,H,SI2,62.3,57.0,5019,6.74,6.78,4.21
0.33,Premium,G,VVS2,60.6,58.0,965,4.5,4.47,2.72
0.5,Good,F,VS2,63.8,55.0,1436,5.03,5.06,3.22
0.71,Ideal,D,VS1,62.1,57.0,3801,5.7,5.73,3.55
0.33,Ideal,G,IF,61.3,57.0,984,4.42,4.46,2.72
0.29,Premium,E,SI1,58.4,60.0,548,4.34,4.32,2.53
2.12,Premium,H,SI2,61.5,59.0,13307,8.26,8.21,5.06
0.31,Ideal,F,IF,61.1,55.0,901,4.41,4.43,2.7
0.4,Ideal,F,VVS2,62.4,56.0,1088,4.72,4.74,2.95
0.4,Premium,I,SI2,62.9,59.0,585,4.68,4.63,2.93
1.01,Good,E,SI2,60.2,60.0,4566,6.37,6.42,3.85
0.34,Ideal,E,SI1,61.0,57.0,765,4.51,4.48,2.74
1.21,Ideal,G,VVS1,61.0,57.0,10482,6.93,6.87,4.21
0.36,Ideal,F,VS2,61.0,57.0,875,4.6,4.62,2.81
0.55,Ideal,E,VS1,61.7,55.0,1975,5.27,5.29,3.26
0.7,Very Good,I,SI2,58.8,60.0,1876,5.8,5.83,3.42
0.39,Ideal,I,VVS2,62.3,54.0,787,4.66,4.69,2.91
0.71,Ideal,I,SI1,61.9,55.0,2313,5.7,5.74,3.54
0.71,Premium,D,VS2,59.2,59.0,3217,5.8,5.86,3.45
0.51,Very Good,E,VVS2,60.0,58.0,2062,5.19,5.21,3.12
0.71,Premium,G,SI2,62.0,55.0,2362,5.77,5.71,3.56
1.0,Good,I,VS2,61.7,60.2,4761,6.29,6.35,3.9
0.71,Good,I,SI1,64.2,57.0,1715,5.59,5.57,3.58
0.33,Premium,F,VS2,60.0,60.0,740,4.49,4.45,2.68
0.71,Very Good,E,SI1,62.9,55.0,2964,5.64,5.68,3.56
0.53,Ideal,D,VS2,61.2,56.0,1857,5.2,5.23,3.19
2.03,Very Good,D,SI2,63.1,58.0,13858,8.02,7.98,5.05
0.36,Ideal,F,IF,61.4,56.0,1063,4.57,4.61,2.82
0.39,Ideal,G,VS2,62.0,57.0,816,4.68,4.74,2.92
1.52,Ideal,D,SI1,61.2,57.0,13329,7.47,7.4,4.55
1.52,Premium,D,SI2,61.6,56.0,10487,7.47,7.39,4.58
0.3,Ideal,D,VS1,61.9,54.1,817,4.28,4.33,2.67
0.42,Ideal,I,IF,62.0,54.0,961,4.82,4.85,3.0
0.53,Ideal,H,VS1,61.2,56.0,1601,5.23,5.26,3.21
0.7,Premium,D,VS1,61.2,60.0,3425,5.69,5.71,3.49
0.9,Good,G,SI1,62.2,62.5,3816,6.08,6.1,3.78
0.47,Very Good,D,VS1,60.0,59.0,1795,5.07,5.09,3.06
0.38,Very Good,F,VS2,59.7,57.0,752,4.73,4.79,2.84
0.39,Good,E,VS1,57.8,58.0,1082,4.86,4.9,2.82
0.35,Ideal,D,VS2,60.5,56.0,707,4.6,4.63,2.79
1.01,Ideal,F,VS1,61.7,56.0,8552,6.48,6.45,3.99
0.54,Premium,H,SI1,61.0,58.0,1154,5.23,5.27,3.2
0.41,Good,G,SI1,64.2,57.0,739,4.67,4.71,3.01
0.38,Ideal,G,VVS1,62.1,56.0,973,4.61,4.64,2.87
0.58,Ideal,F,VS1,60.4,57.0,2245,5.42,5.37,3.26
0.53,Ideal,I,VS2,62.2,56.0,1163,5.15,5.2,3.22
1.14,Premium,H,SI1,59.2,58.0,4980,6.86,6.8,4.04
1.01,Good,G,SI1,63.5,60.0,4588,6.3,6.33,4.01
0.73,Very Good,F,SI1,61.4,60.0,2675,5.74,5.76,3.53
0.76,Premium,F,SI1,60.3,58.0,2607,5.91,5.96,3.58
0.41,Very Good,D,VVS1,61.9,60.0,1376,4.71,4.75,2.93
1.7,Premium,I,VS1,58.0,60.0,12030,7.88,7.84,4.56
0.96,Very Good,E,SI2,62.6,60.0,4186,6.26,6.32,3.94
2.0,Very Good,J,SI1,60.8,58.0,12768,7.99,8.07,4.88
0.38,Premium,H,VS2,60.9,60.0,700,4.62,4.67,2.83
0.4,Premium,E,SI1,61.3,59.0,737,4.69,4.74,2.89
1.5,Fair,H,SI1,66.1,57.0,7832,7.06,6.98,4.64
0.34,Ideal,F,SI2,60.1,56.0,447,4.54,4.55,2.73
0.61,Ideal,F,SI2,61.9,57.0,1588,5.45,5.41,3.36
0.82,Premium,F,SI2,62.5,59.0,2544,6.0,5.94,3.73
0.34,Ideal,F,IF,61.9,55.0,1276,4.49,4.52,2.79
1.02,Ideal,G,VS1,62.2,57.0,6683,6.47,6.43,4.01
1.02,Premium,E,VS2,61.6,60.0,6580,6.51,6.42,3.98
1.52,Ideal,D,VS2,62.1,58.0,15922,7.36,7.4,4.58
0.8,Ideal,F,SI2,61.8,59.0,3066,5.94,5.96,3.68
0.52,Ideal,G,SI1,60.0,56.0,1346,5.24,5.27,3.15
0.4,Very Good,F,SI1,62.1,57.0,687,4.65,4.69,2.9
0.72,Ideal,E,VS1,61.2,56.0,3409,5.78,5.83,3.55
1.52,Fair,I,VVS2,64.9,56.0,7303,7.28,7.21,4.7
0.5,Ideal,E,VS2,61.6,55.0,1624,5.09,5.14,3.15
0.51,Ideal,H,VS2,61.2,53.0,1312,5.22,5.18,3.18
1.04,Very Good,G,SI2,60.6,57.0,4703,6.56,6.6,3.99
1.13,Good,F,SI2,56.5,62.0,4998,6.93,6.88,3.9
1.2,Premium,I,SI2,61.5,58.0,4838,6.82,6.77,4.18
2.04,Premium,E,SI2,62.7,60.0,15398,8.04,8.0,5.03
1.0,Premium,F,SI1,59.7,60.0,4851,6.48,6.51,3.88
0.51,Very Good,G,VVS2,63.4,57.0,1895,5.09,5.06,3.22
1.51,Very Good,H,SI1,62.8,55.0,10314,7.29,7.32,4.59
1.0,Premium,E,VS2,60.0,60.0,6600,6.43,6.43,3.89
0.4,Very Good,E,SI1,62.8,59.0,737,4.64,4.69,2.93
0.71,Good,I,VS1,64.2,56.0,2161,5.62,5.66,3.62
1.51,Premium,H,IF,60.2,60.0,13075,7.41,7.44,4.47
1.71,Premium,E,SI1,62.2,58.0,14319,7.67,7.61,4.75
0.9,Premium,I,SI1,61.8,58.0,3121,6.26,6.2,3.85
0.56,Ideal,G,VS2,61.9,55.0,1580,5.28,5.32,3.28
1.67,Ideal,F,VS2,61.8,57.0,17194,7.58,7.62,4.7
1.0,Good,D,VS2,62.8,61.0,6189,6.31,6.34,3.97
0.31,Good,F,VS1,56.7,60.0,814,4.57,4.5,2.57
0.9,Premium,E,VS2,63.0,58.0,4625,6.16,6.13,3.87
0.37,Ideal,F,SI1,61.6,56.0,746,4.61,4.65,2.85
0.31,Very Good,F,VVS1,62.4,60.0,897,4.28,4.31,2.68
1.13,Very Good,H,SI2,62.0,58.0,5179,6.67,6.71,4.15
0.56,Ideal,H,SI1,60.3,58.0,1253,5.35,5.4,3.24
0.31,Ideal,D,VS1,61.9,53.0,774,4.36,4.4,2.71
2.01,Very Good,H,I1,61.7,63.0,8104,7.94,7.91,4.89
1.2,Ideal,G,VVS2,61.1,56.0,10454,6.88,6.91,4.21
0.35,Ideal,E,VS2,61.6,55.0,767,4.49,4.54,2.78
1.47,Very Good,G,VS2,62.7,56.0,11060,7.15,7.18,4.49
1.22,Ideal,D,SI2,61.8,58.0,6372,6.84,6.92,4.25
1.0,Very Good,E,VS1,63.0,56.0,7453,6.39,6.41,4.03
0.39,Very Good,H,SI2,60.4,60.0,588,4.74,4.8,2.88
0.51,Ideal,G,VVS1,61.6,56.0,1933,5.12,5.16,3.17
0.4,Good,D,SI1,63.1,57.0,720,4.69,4.73,2.97
1.6,Premium,J,SI1,62.2,58.0,7550,7.48,7.54,4.67
1.04,Ideal,G,VS1,61.2,58.0,7375,6.5,6.53,3.99
0.38,Ideal,E,SI1,59.4,61.0,660,4.72,4.74,2.81
1.22,Premium,I,VS2,62.9,58.0,5649,6.8,6.75,4.26
0.5,Very Good,F,VS2,63.0,57.0,1272,5.02,5.1,3.19
0.29,Very Good,G,VS2,62.5,56.0,471,4.21,4.24,2.64
0.41,Ideal,E,VS1,61.9,55.0,1079,4.76,4.8,2.96
0.9,Very Good,I,VVS1,63.5,58.0,4161,6.06,6.09,3.86
0.42,Ideal,G,SI1,63.0,55.0,882,4.81,4.77,3.02
1.71,Premium,I,SI1,60.2,58.0,11104,7.79,7.75,4.68
0.5,Premium,F,SI1,62.2,59.0,1250,5.07,5.03,3.14
0.52,Ideal,E,VS2,62.2,55.0,1571,5.16,5.22,3.23
0.55,Ideal,E,VS1,61.2,57.0,2107,5.3,5.28,3.24
1.08,Premium,G,SI1,59.4,60.0,5044,6.7,6.63,3.96
1.07,Ideal,J,SI1,62.0,56.0,4235,6.53,6.57,4.06
0.51,Ideal,H,VS2,61.3,57.0,1385,5.14,5.16,3.16
0.9,Very Good,J,VS2,63.5,56.0,3145,6.12,6.1,3.88
0.51,Ideal,E,VS2,61.4,57.0,1781,5.16,5.13,3.16
0.37,Premium,E,VS2,59.5,59.0,1041,4.71,4.64,2.78
0.51,Very Good,E,VS2,63.5,56.0,1662,5.08,5.06,3.22
0.56,Ideal,F,SI1,62.3,55.0,1436,5.27,5.32,3.3
1.04,Ideal,E,SI1,62.4,57.0,5528,6.48,6.53,4.06
1.01,Good,F,SI1,63.7,57.0,4989,6.4,6.35,4.06
0.35,Ideal,F,VS2,62.4,57.0,706,4.5,4.51,2.81
0.41,Ideal,E,SI2,61.2,56.0,760,4.81,4.84,2.95
0.73,Ideal,H,IF,62.3,55.0,3785,5.77,5.79,3.6
0.41,Premium,H,VVS1,61.4,60.0,1115,4.78,4.73,2.92
0.32,Ideal,H,VS2,63.0,57.0,648,4.38,4.35,2.75
0.71,Very Good,G,SI1,62.3,57.0,2104,5.7,5.76,3.57
1.5,Very Good,F,SI2,63.1,63.0,8702,7.27,7.21,4.57
0.43,Premium,G,VS1,62.2,59.0,1008,4.84,4.81,3.0
0.71,Fair,D,VS2,64.4,56.0,2596,5.63,5.58,3.61
0.31,Good,H,SI1,63.1,57.0,446,4.31,4.34,2.73
0.44,Premium,G,VVS1,60.9,59.0,1294,4.96,4.9,3.0
1.52,Ideal,D,SI2,62.7,56.0,8631,7.35,7.28,4.59
0.83,Premium,D,SI1,62.2,60.0,3347,6.01,5.98,3.73
0.31,Premium,I,VS2,60.7,61.0,558,4.34,4.32,2.63
0.27,Ideal,D,VVS1,61.7,57.0,752,4.2,4.16,2.58
0.53,Ideal,E,SI1,61.8,56.0,1607,5.21,5.17,3.21
1.09,Premium,H,SI2,61.2,62.0,4395,6.63,6.58,4.04
0.41,Premium,F,VS1,62.4,60.0,1007,4.71,4.77,2.96
0.3,Very Good,D,VVS2,60.6,58.0,2366,4.33,4.35,2.63
0.32,Ideal,D,VS1,60.3,57.0,780,4.42,4.44,2.67
0.7,Good,F,SI1,57.7,65.0,2167,5.78,5.72,3.32
0.86,Ideal,I,VS2,63.0,53.0,2706,6.1,6.06,3.83
0.8,Good,F,SI2,63.9,57.0,2189,5.86,5.84,3.74
1.01,Very Good,F,SI1,60.8,59.0,4869,6.49,6.53,3.96
0.35,Ideal,E,SI1,60.7,56.0,667,4.57,4.59,2.78
0.51,Ideal,G,VVS1,62.8,53.0,1810,5.09,5.14,3.21
1.01,Very Good,E,VVS1,63.2,54.0,10498,6.41,6.31,4.02
0.4,Ideal,E,VS1,62.3,56.0,1053,4.71,4.73,2.94
0.72,Ideal,H,SI1,58.9,56.0,2398,5.91,5.88,3.47
1.2,Good,E,VS2,63.6,57.0,8380,6.74,6.68,4.27
2.07,Very Good,I,VS2,60.6,58.0,16378,8.24,8.29,5.01
0.9,Premium,F,SI2,61.4,58.0,3556,6.19,6.13,3.78
1.01,Ideal,H,SI2,61.3,59.0,4078,6.5,6.46,3.97
1.28,Premium,H,SI1,59.9,59.0,6580,7.05,7.08,4.23
0.95,Ideal,J,VVS2,60.6,57.0,3558,6.4,6.34,3.86
0.43,Premium,E,SI2,60.8,58.0,919,4.88,4.86,2.96
0.39,Ideal,G,SI1,60.7,57.0,665,4.69,4.8,2.88
1.15,Ideal,G,SI2,62.4,56.0,4877,6.7,6.74,4.19
1.03,Ideal,G,SI1,61.7,56.0,5241,6.5,6.47,4.0
0.53,Very Good,F,SI1,60.9,56.0,1291,5.21,5.23,3.18
0.79,Premium,H,VS2,61.1,59.0,2362,5.96,5.93,3.63
0.9,Very Good,D,VS2,63.2,58.0,4712,6.16,6.09,3.87
0.3,Ideal,H,VVS2,62.4,56.0,590,4.28,4.31,2.68
0.53,Very Good,E,VS2,63.5,59.0,1678,5.17,5.13,3.27
0.71,Premium,F,SI1,63.0,59.0,2381,5.69,5.62,3.56
1.32,Premium,G,SI2,59.2,61.0,4373,7.21,7.14,4.25
1.03,Premium,H,VS1,59.2,58.0,4874,6.66,6.61,3.92
0.33,Premium,E,VS1,61.6,58.0,781,4.41,4.45,2.73
1.51,Premium,F,SI1,62.2,58.0,11374,7.32,7.27,4.54
0.77,Ideal,J,VS2,61.9,54.0,2292,5.89,5.94,3.66
0.76,Very Good,F,VS2,62.0,58.0,2873,5.8,5.86,3.62
1.5,Premium,F,SI1,62.6,60.0,10962,7.27,7.18,4.52
0.3,Premium,E,VS2,62.0,58.0,844,4.29,4.26,2.65
1.21,Premium,J,VS2,62.4,58.0,4268,6.83,6.79,4.25
0.3,Premium,D,VS2,60.5,58.0,911,4.38,4.35,2.64
1.5,Ideal,I,VS1,62.8,57.0,9533,7.24,7.28,4.56
1.5,Good,I,SI1,64.3,55.0,8736,7.24,7.19,4.64
1.62,Ideal,I,VS1,60.8,56.0,11152,7.56,7.61,4.62
0.31,Very Good,H,VS2,60.0,60.0,489,4.4,4.43,2.65
0.9,Very Good,E,SI2,59.4,58.0,3872,6.31,6.35,3.76
0.92,Good,D,SI2,57.8,63.0,3277,6.4,6.36,3.69
1.51,Ideal,G,VVS2,61.8,57.0,15118,7.36,7.31,4.53
0.72,Ideal,J,SI1,62.7,56.0,1832,5.67,5.75,3.58
1.53,Premium,D,SI1,61.6,58.0,10907,7.42,7.35,4.55
0.33,Ideal,G,IF,61.0,57.0,925,4.45,4.48,2.72
1.05,Very Good,G,VS2,62.8,57.0,6486,6.45,6.49,4.06
0.52,Ideal,G,VS2,62.0,55.0,1577,5.19,5.13,3.2
0.52,Ideal,D,SI1,62.4,57.0,1600,5.14,5.18,3.22
0.34,Ideal,G,IF,60.7,57.0,974,4.51,4.55,2.75
0.3,Good,E,VVS2,63.0,58.0,622,4.27,4.34,2.71
0.34,Premium,D,SI1,62.7,59.0,626,4.42,4.45,2.78
1.0,Very Good,H,SI2,62.5,58.0,4042,6.27,6.36,3.95
1.54,Very Good,I,SI2,60.1,61.0,7589,7.41,7.46,4.47
0.3,Premium,E,IF,61.9,58.0,1097,4.3,4.26,2.65
0.5,Very Good,G,VVS1,63.3,56.0,2070,5.1,5.07,3.22
0.32,Ideal,D,VS2,61.1,56.0,713,4.42,4.45,2.71
1.0,Ideal,E,VS2,61.6,57.0,6600,6.38,6.44,3.95
0.55,Ideal,D,VS2,61.4,57.0,1928,5.27,5.31,3.25
1.7,Premium,F,VS1,60.6,58.0,18598,7.71,7.68,4.66
0.78,Ideal,D,SI1,61.2,58.0,3326,5.92,5.95,3.63
0.58,Ideal,E,VS2,61.9,57.0,1884,5.33,5.37,3.31
1.21,Premium,G,VVS2,59.6,60.0,9370,6.89,6.91,4.11
0.92,Premium,H,SI1,62.2,58.0,3675,6.19,6.23,3.86
0.7,Ideal,E,VS2,62.1,57.0,2633,5.68,5.73,3.54
0.53,Ideal,D,VS2,61.2,57.0,1857,5.2,5.26,3.2
0.47,Premium,G,SI1,62.7,58.0,931,4.97,4.99,3.12
1.35,Premium,G,VVS2,60.2,59.0,11868,7.2,7.16,4.32
0.3,Ideal,H,VVS2,61.3,56.0,605,4.33,4.35,2.66
1.28,Ideal,G,VS2,62.2,57.0,8774,6.99,6.94,4.33
0.31,Ideal,H,VVS1,61.8,57.0,707,4.32,4.35,2.68
0.51,Ideal,H,IF,62.6,56.0,1920,5.1,5.13,3.2
0.33,Ideal,E,VVS1,61.9,54.0,917,4.43,4.45,2.75
0.3,Ideal,G,SI1,62.0,58.0,477,4.27,4.29,2.65
1.2,Ideal,H,SI1,62.9,57.0,5510,6.79,6.76,4.26
0.72,Fair,H,SI2,65.9,57.0,2203,5.6,5.54,3.67
0.76,Ideal,F,VVS2,60.9,57.0,3716,5.89,5.96,3.61
0.77,Very Good,G,VVS1,62.7,54.0,3966,5.84,5.89,3.67
0.71,Very Good,I,SI1,62.6,59.0,2218,5.67,5.7,3.56
0.3,Ideal,E,VS1,61.7,57.0,911,4.31,4.28,2.65
0.91,Premium,E,SI1,59.8,59.0,4729,6.28,6.23,3.74
0.56,Ideal,D,VS2,61.5,57.0,2066,5.33,5.28,3.26
1.52,Premium,I,VS2,61.7,61.0,6793,7.35,7.3,4.52
0.51,Ideal,E,VS2,62.0,56.0,1656,5.11,5.15,3.18
1.51,Fair,G,VS1,60.8,66.0,12948,7.35,7.25,4.44
1.01,Premium,J,VS2,62.4,60.0,3296,6.45,6.35,3.99
0.3,Ideal,F,VS2,62.3,55.0,573,4.3,4.34,2.69
0.71,Ideal,G,SI1,59.7,60.0,2522,5.79,5.81,3.46
1.53,Premium,H,VS2,62.2,58.0,11280,7.34,7.3,4.55
0.5,Very Good,E,SI2,61.4,58.0,1154,5.09,5.11,3.13
1.16,Very Good,G,SI1,60.5,60.0,5372,6.86,6.77,4.12
0.61,Fair,J,VS2,58.2,56.0,1174,5.74,5.49,3.27
0.3,Ideal,F,VVS2,61.6,55.0,751,4.3,4.33,2.66
1.75,Ideal,I,VS2,61.6,55.0,12531,7.72,7.77,4.77
0.3,Good,I,IF,63.3,56.0,631,4.21,4.26,2.68
0.4,Ideal,F,VVS2,62.2,55.0,1012,4.75,4.77,2.96
0.5,Ideal,E,SI1,62.2,57.0,1415,5.11,5.05,3.16
1.53,Premium,I,VS1,62.4,59.0,10729,7.3,7.34,4.57
1.09,Ideal,F,VVS2,62.0,56.0,10196,6.63,6.6,4.1
1.63,Good,I,SI1,63.7,58.0,9556,7.4,7.48,4.74
1.01,Fair,E,SI2,60.0,60.0,3801,6.48,6.38,3.86
0.9,Very Good,F,SI1,62.5,60.0,3950,6.05,6.11,3.8
0.4,Very Good,D,VS1,59.4,60.0,952,4.77,4.83,2.85
1.56,Ideal,H,VS2,60.7,57.0,12146,7.49,7.53,4.56
0.51,Ideal,E,SI2,62.0,56.0,1385,5.12,5.14,3.18
0.38,Ideal,F,VVS2,62.7,56.0,1104,4.64,4.61,2.9
2.25,Very Good,H,SI2,61.2,63.0,14775,8.49,8.38,5.16
0.57,Ideal,E,VS1,61.4,57.0,1965,5.32,5.37,3.28
1.08,Premium,H,VS2,62.1,58.0,5250,6.63,6.51,4.08
1.01,Good,D,SI1,63.9,60.0,5055,6.29,6.32,4.03
0.3,Ideal,H,IF,61.8,57.0,764,4.31,4.36,2.68
0.31,Ideal,D,VS2,61.2,55.0,734,4.35,4.38,2.67
0.4,Ideal,E,SI1,62.0,57.0,945,4.78,4.74,2.95
0.34,Ideal,D,VS2,62.5,57.0,1033,4.47,4.4,2.77
1.01,Premium,H,SI1,62.8,58.0,4642,6.38,6.36,4.0
0.4,Ideal,E,VVS2,61.7,56.0,1238,4.77,4.73,2.93
0.9,Ideal,G,SI2,62.5,55.0,3338,6.21,6.15,3.86
2.04,Premium,H,SI1,63.0,58.0,18115,8.1,8.03,5.08
0.9,Fair,J,SI1,64.6,61.0,2438,5.92,5.87,3.81
0.71,Very Good,F,VS2,59.6,56.0,2994,5.84,5.88,3.49
0.77,Very Good,G,SI1,62.7,57.0,2633,5.79,5.85,3.65
1.0,Good,I,SI1,63.8,58.0,3850,6.28,6.32,4.02
0.4,Ideal,G,VVS2,62.6,53.0,917,4.72,4.77,2.97
0.3,Good,D,SI2,63.3,57.0,447,4.26,4.3,2.71
0.3,Premium,I,VS1,60.5,60.0,473,4.3,4.33,2.61
0.75,Ideal,G,SI1,61.8,55.0,3171,5.81,5.84,3.6
0.34,Premium,J,VS1,61.7,58.0,574,4.47,4.41,2.74
0.8,Ideal,G,VS2,62.2,56.0,2834,5.94,5.87,3.67
0.28,Ideal,E,VVS1,62.0,56.0,828,4.23,4.19,2.61
0.41,Very Good,J,VS1,61.3,59.0,647,4.74,4.78,2.92
0.7,Good,E,VS1,60.2,61.0,3018,5.71,5.75,3.45
1.02,Ideal,G,SI2,62.7,57.0,4370,6.44,6.42,4.03
1.01,Ideal,F,VS1,60.7,57.0,7792,6.52,6.49,3.95
1.76,Very Good,J,SI2,60.9,60.0,9053,7.79,7.83,4.76
0.72,Premium,G,SI2,62.7,57.0,1764,5.74,5.7,3.59
0.58,Ideal,F,VS2,62.1,55.0,1790,5.37,5.33,3.32
0.31,Premium,G,VVS1,60.7,58.0,1046,4.4,4.37,2.66
0.84,Very Good,G,VVS2,60.4,55.0,4259,6.07,6.12,3.68
1.51,Good,G,VVS2,63.8,59.0,13275,7.28,7.24,4.63
0.77,Ideal,D,VVS2,62.3,57.0,5207,5.83,5.85,3.64
0.71,Fair,H,VS1,66.4,62.0,2401,5.54,5.49,3.66
0.7,Good,I,SI1,63.8,57.0,2034,5.63,5.66,3.6
1.51,Good,G,VS2,64.2,54.0,11640,7.18,7.27,4.64
0.51,Premium,E,VS1,58.2,58.0,2020,5.33,5.29,3.09
1.03,Very Good,H,SI2,62.8,59.0,4964,6.41,6.46,4.04
1.21,Ideal,I,VS2,62.3,58.0,5387,6.79,6.75,4.22
0.3,Ideal,D,VS1,61.2,59.0,742,4.29,4.31,2.63
1.0,Very Good,E,SI2,60.5,59.0,4435,6.44,6.48,3.91
0.7,Premium,F,SI2,58.4,61.0,1966,5.86,5.79,3.4
0.81,Ideal,H,SI1,62.3,58.0,2951,5.95,5.96,3.71
1.88,Very Good,D,SI2,63.2,60.0,9791,7.84,7.79,4.94
1.17,Ideal,J,SI1,62.3,55.0,4883,6.74,6.77,4.21
2.0,Very Good,H,SI1,63.3,59.0,16872,8.02,8.0,5.07
0.46,Ideal,E,VVS1,62.6,57.0,1661,4.98,4.89,3.09
0.91,Ideal,E,SI1,61.0,57.0,4706,6.27,6.32,3.84
0.3,Ideal,F,VVS1,62.1,55.0,1114,4.32,4.31,2.68
0.3,Ideal,G,VS2,63.0,55.0,675,4.31,4.29,2.71
1.02,Premium,I,VS2,62.0,58.0,4459,6.44,6.47,4.0
0.3,Premium,E,VS2,61.8,58.0,844,4.36,4.31,2.68
0.42,Ideal,D,VS1,62.3,57.0,1350,4.8,4.76,2.98
0.3,Very Good,G,SI1,62.4,54.0,432,4.33,4.35,2.71
0.5,Fair,H,VS2,56.3,65.0,1332,5.24,5.21,2.94
0.7,Ideal,I,VVS2,62.1,56.0,2367,5.68,5.72,3.54
0.35,Ideal,E,SI2,61.4,56.0,491,4.51,4.55,2.78
1.23,Ideal,H,VVS2,61.6,57.0,8509,6.87,6.92,4.25
0.72,Premium,F,SI1,61.6,60.0,2314,5.79,5.73,3.55
1.01,Very Good,I,SI1,62.1,58.0,4681,6.37,6.39,3.96
0.31,Ideal,D,VVS2,61.0,55.0,1074,4.38,4.41,2.68
0.72,Ideal,H,VS2,62.3,52.0,2548,5.76,5.82,3.61
0.41,Very Good,J,VVS2,63.1,60.0,754,4.67,4.71,2.96
1.0,Good,E,SI1,63.5,62.0,4535,6.27,6.4,4.02
1.02,Premium,H,SI1,61.9,61.0,4558,6.42,6.34,3.95
0.35,Ideal,F,SI1,61.5,55.9,596,4.53,4.56,2.8
0.3,Ideal,D,VS1,60.7,56.0,885,4.38,4.41,2.67
0.71,Ideal,D,VS1,62.2,55.0,3136,5.74,5.71,3.56
0.7,Very Good,E,SI2,62.6,55.0,2263,5.62,5.69,3.54
0.35,Ideal,G,IF,62.6,57.0,979,4.51,4.53,2.82
0.71,Premium,D,SI1,61.3,58.0,2797,5.73,5.75,3.52
1.01,Premium,H,SI1,58.2,62.0,4191,6.54,6.48,3.78
0.57,Ideal,G,VS1,60.6,57.0,1815,5.38,5.41,3.27
1.22,Premium,J,VS1,61.7,59.0,5910,6.92,6.85,4.25
0.91,Fair,D,VS2,65.7,58.0,4107,6.04,5.99,3.95
0.7,Very Good,G,SI1,62.1,56.0,2175,5.64,5.67,3.51
1.0,Good,H,SI2,63.4,61.0,3850,6.29,6.33,4.0
0.56,Ideal,D,SI1,62.5,56.0,1729,5.28,5.24,3.29
1.04,Very Good,D,SI2,62.9,58.0,5265,6.41,6.47,4.05
0.26,Ideal,H,VS1,62.2,55.0,482,4.08,4.09,2.54
1.51,Ideal,E,VS2,61.7,55.0,14482,7.37,7.34,4.54
0.72,Good,F,VS1,63.8,58.0,3002,5.68,5.63,3.61
0.9,Premium,H,VS2,60.6,60.0,4044,6.24,6.3,3.8
1.5,Good,G,SI2,63.7,58.0,7216,7.15,7.22,4.58
1.01,Premium,F,VVS2,59.9,58.0,8905,6.54,6.49,3.9
0.72,Very Good,E,VVS1,61.2,58.0,3903,5.75,5.79,3.53
0.71,Very Good,E,SI1,59.3,55.0,2573,5.83,5.9,3.48
0.41,Ideal,F,VVS2,61.9,55.0,1115,4.78,4.79,2.96
0.38,Premium,D,SI2,62.1,55.0,812,4.65,4.62,2.88
1.0,Very Good,D,SI2,60.8,63.0,3965,6.41,6.36,3.88
1.57,Ideal,I,SI1,62.0,59.0,9095,7.41,7.45,4.61
1.41,Ideal,H,VS1,60.7,56.0,9752,7.31,7.22,1.41
0.36,Ideal,H,VS2,61.4,57.0,587,4.59,4.63,2.83
0.42,Ideal,D,SI1,61.9,57.0,1040,4.82,4.77,2.97
0.79,Ideal,E,SI2,61.0,57.0,3390,6.0,5.95,3.65
0.36,Ideal,H,VS2,62.0,55.0,599,4.58,4.63,2.86
0.7,Ideal,F,SI1,62.6,56.0,2089,5.66,5.69,3.55
0.52,Very Good,E,VS2,61.5,58.0,1625,5.18,5.24,3.2
0.3,Ideal,G,VVS1,61.4,57.0,764,4.32,4.35,2.66
0.23,Very Good,F,VVS2,58.1,63.0,468,4.04,4.08,2.36
0.41,Very Good,G,VS1,61.6,59.0,908,4.74,4.8,2.94
1.02,Ideal,E,VS2,60.2,56.0,7465,6.56,6.62,3.97
0.41,Ideal,H,VS1,61.0,54.0,1024,4.84,4.8,2.94
1.09,Premium,E,SI2,61.4,58.0,5127,6.67,6.63,4.08
1.06,Premium,H,SI2,62.6,58.0,4031,6.52,6.46,4.06
0.36,Ideal,J,VVS2,61.7,55.0,525,4.61,4.63,2.85
1.01,Fair,H,VS1,67.1,59.0,3676,6.16,6.09,4.11
2.12,Premium,G,SI2,62.6,59.0,18164,8.18,8.12,5.1
0.78,Very Good,E,VVS1,61.3,60.0,4904,5.86,5.92,3.61
0.25,Ideal,E,VVS2,61.7,56.0,705,4.05,4.07,2.5
1.0,Fair,F,SI1,65.8,58.0,4657,6.23,6.15,4.07
0.47,Premium,H,VS1,61.8,58.0,1221,4.99,4.94,3.07
0.31,Good,G,VS1,63.8,57.0,802,4.33,4.29,2.75
1.18,Very Good,F,VVS2,60.1,58.0,11430,6.88,6.92,4.15
0.31,Premium,F,VS2,62.4,58.0,625,4.31,4.34,2.7
1.16,Ideal,I,VS2,60.8,56.0,5587,6.85,6.81,4.15
1.11,Ideal,I,SI1,62.2,56.0,4890,6.62,6.65,4.13
0.43,Ideal,H,SI1,62.5,57.0,919,4.84,4.79,3.01
0.32,Ideal,H,VVS1,62.2,56.0,730,4.37,4.38,2.72
